"","gamma","alpha","rho","sigma_eps_sq","alpha_tilde","k","Y_inf","obj_fun"
"405",0.39273187388,0.982128000904,0.938525194855,0.0906729,0.447188,0.0634456,156.442,2111.01
"406",0.442960178744,1.03410642089,0.948996223153,0.113779,0.509072,0.0523505,180.169,2049.22
"407",0.735257391338,2.47791195097,0.96317167537,1.83597,1.85873,0.0375236,207.13,2111.42
"408",0.668869967492,1.71499346674,0.970872195462,0.969335,1.17624,0.0295604,251.967,2102.05
"409",0.736327596893,2.47873858884,0.962424851943,2.01562,1.86274,0.0382993,200.588,2136.99
"410",0.227017737572,0.675739056334,0.927482219051,0.0253098,0.225923,0.0752817,149.247,2171.54
"411",0.35368727988,0.867170641328,0.939988365883,0.0666967,0.366719,0.0618878,166.947,2128.84
"412",0.609862438722,1.80766432373,0.950638162915,0.603711,1.15179,0.0506218,175.024,2105.93
"413",0.18914262752,0.528076327215,0.93925254281,0.0154823,0.160629,0.0626709,170.879,2131.63
"414",0.406252095592,0.824118417908,0.954508450378,0.097914,0.380291,0.0465588,186.202,2105.59
"415",0.687924434483,1.80796861357,0.970210627775,1.02929,1.27354,0.0302421,234.87,2064.69
"416",0.27890055046,0.670533670406,0.940184999469,0.0336243,0.246827,0.0616786,161.13,2119.02
"417",0.171200058688,0.483693178532,0.941908455471,0.0119249,0.1409,0.0598472,176.868,2101.12
"418",0.364880450882,0.90360574916,0.938202374698,0.0685683,0.391506,0.0637896,157.521,2101.32
"419",0.299612251875,0.740974964125,0.938500350827,0.0417556,0.283505,0.063472,164.118,2131.54
"420",0.317431015366,0.722470360749,0.944088724617,0.0440979,0.285246,0.0575351,169.638,2099.49
"421",0.300833147717,0.912573726569,0.919406167822,0.0416868,0.355126,0.0840273,138.354,2114.3
"422",0.782275799408,2.97300661103,0.961991405636,3.0989,2.36372,0.0387498,196.31,2142.99
"423",0.599806742132,2.09198472246,0.933083693044,0.580884,1.3217,0.0692604,144.555,2110.08
"424",0.439921713911,0.89084271164,0.958739236547,0.118536,0.433162,0.0421362,209.471,2076.96
"425",0.621974351146,1.95033851232,0.946739125251,0.685683,1.26632,0.0547317,163.128,2108.37
"426",0.301913148271,0.672518121224,0.944899566088,0.0455941,0.258142,0.0566766,166.539,2152.27
"427",0.494750727164,1.32547921658,0.943056789646,0.249856,0.712725,0.0586288,165.291,2148.44
"428",0.466218717522,1.10169201926,0.949083081446,0.158555,0.564546,0.0522589,174.216,2086.82
"429",0.257409950516,0.613543401803,0.943065395803,0.0259291,0.214867,0.0586197,174.083,2102.85
"430",0.678032849905,1.69741627904,0.971380030913,1.06859,1.17952,0.0290375,240.961,2105.45
"431",0.726553199387,2.78112837888,0.951695643405,1.70031,2.06894,0.04951,176.155,2104.84
"432",0.490456924901,1.1569370772,0.952541738201,0.21127,0.614886,0.0486214,185.463,2112.82
"433",0.243814313051,0.705341623595,0.928399316046,0.0267088,0.243573,0.0742933,151.638,2142.86
"434",0.260786295889,0.463819910423,0.961954700934,0.03004,0.159003,0.0387879,240.803,2151.45
"435",0.231474774124,0.733215000868,0.921887909397,0.0223461,0.247833,0.0813316,146.651,2118.71
"436",0.12442105549,0.468602976591,0.933677588804,0.00834356,0.124626,0.0686241,159.147,2112.83
"437",0.164590168929,0.477183039234,0.94007537281,0.0131309,0.138464,0.0617952,162.154,2142.74
"438",0.504479930185,1.3122855363,0.946047433037,0.263035,0.715974,0.0554626,168.201,2137.96
"439",0.487336040864,1.41069814682,0.934125786287,0.201916,0.753358,0.0681442,148.448,2094.28
"440",0.509244698396,1.35023466069,0.945420120955,0.216706,0.74218,0.0561259,168.19,2062.79
